category_id;category;image;name;description
Fruit;77;Dataset/Fruit/307.jpg;Plukk & miks;Røde/gule/grønne epler, appelsiner, klementiner og pærer. Pr kg
Fruit;77;Dataset/Fruit/579.jpg;Appelsiner;Pr kg
Fruit;77;Dataset/Fruit/595.jpg;Økologiske druer;400 g. Pr kg 67,25
Fruit;77;Dataset/Fruit/596.jpg;Appelsiner;Pr kg
Fruit;77;Dataset/Fruit/599.jpg;Bringebær;125 g Fra 140,00/kg
Fruit;77;Dataset/Fruit/302.jpg;Mango stk;En stk fra 19,90
Fruit;77;Dataset/Fruit/320.jpg;Plukk og miks;PR KG. Epler, pærer, appelsiner og klementiner
Fruit;77;Dataset/Fruit/1863.jpg;Nektariner;Kurv. 1 kg
Fruit;77;Dataset/Fruit/342.jpg;Plukk og miks;PR KG. Epler, pærer, appelsiner og klementiner
Fruit;77;Dataset/Fruit/348.jpg;Mango;1 stk se hylleetikett
Fruit;77;Dataset/Fruit/1889.jpg;Nektariner;Kurv. 1 kg
Fruit;77;Dataset/Fruit/1890.jpg;Kiwi;Gul og grønn 1 stk se hylleetikett
Fruit;77;Dataset/Fruit/1891.jpg;Hel vannmelon;Delt 16,90 pr kg. PR KG
Fruit;77;Dataset/Fruit/1149.jpg;Druer i kurv;Grønne eller fargede. 500 g Pr kg 45,80
Fruit;77;Dataset/Fruit/640.jpg;Blåbær og bringebær;125 g. Fra 140,00/kg. se hylleetikett
Fruit;77;Dataset/Fruit/1192.jpg;Druer i kurv;Grønne eller fargede. 500 g Pr kg 45,80
Fruit;77;Dataset/Fruit/6058.jpg;Bringebær;125 g. Pr kg 159,20
Fruit;77;Dataset/Fruit/685.jpg;Blåbær og bringebær;125 g. Fra 140,00/kg. 1 pk se hylleetikett
Fruit;77;Dataset/Fruit/6063.jpg;Avokado 2 stk;PR PK. Modnet
Fruit;77;Dataset/Fruit/1285.jpg;Vannmelon;Pr. kg
